Date,Open,High,Low,Close,Adj Close,Volume
2001-10-08,3.431342,3.431342,3.402984,3.431342,1.056785,14858
2001-10-15,3.431342,3.466790,3.261193,3.459700,1.065519,194545
2001-10-22,3.367536,3.509327,3.367536,3.502238,1.078620,21663
2001-10-29,3.502238,3.516417,3.502238,3.502238,1.078620,17284
2001-11-05,3.502238,3.509327,3.410073,3.509327,1.080803,55051
2001-11-12,3.516417,3.537685,3.495148,3.523506,1.085169,45381
2001-11-19,3.537685,3.537685,3.495148,3.537685,1.089536,37350
2001-11-26,3.537685,3.651118,3.537685,3.544775,1.091720,106993
2001-12-03,3.644029,3.644029,3.558954,3.629850,1.117921,45642
2001-12-10,3.629850,3.644029,3.615670,3.644029,1.122288,50735
2001-12-17,3.644029,3.644029,3.601491,3.644029,1.122288,91703
2001-12-24,3.644029,3.707835,3.644029,3.706417,1.141502,27081
2001-12-31,3.706417,3.743282,3.686566,3.707835,1.141939,17828
2002-01-07,3.658208,3.729103,3.658208,3.707835,1.141939,41453
2002-01-14,3.714924,3.814178,3.714924,3.799999,1.170324,35508
2002-01-21,3.771641,3.785820,3.686566,3.707835,1.141939,23026
2002-01-28,3.720596,3.729103,3.686566,3.686566,1.135388,55325
2002-02-04,3.700745,3.714924,3.658208,3.693655,1.137572,80151
2002-02-11,3.699327,3.699327,3.693655,3.693655,1.137572,34140
2002-02-18,3.699327,3.700745,3.679476,3.686566,1.135388,64565
2002-02-25,3.700745,3.736193,3.652536,3.686566,1.135388,192725
2002-03-04,3.689402,3.734775,3.686566,3.734775,1.150236,161829
2002-03-11,3.743282,3.814178,3.723432,3.757461,1.157223,84671
2002-03-18,3.771641,3.814178,3.700745,3.757461,1.157223,78290
2002-03-25,3.798581,3.899252,3.757461,3.799999,1.170324,201851
2002-04-01,3.799999,3.799999,3.624178,3.729103,1.148489,395502
2002-04-08,3.828357,3.862387,3.746118,3.828357,1.179057,50065
2002-04-15,3.851044,3.863805,3.799999,3.863805,1.189975,132502
2002-04-22,3.831193,3.870894,3.828357,3.870894,1.192158,63267
2002-04-29,3.658208,3.714924,3.594402,3.679476,1.133205,102430
2002-05-06,3.678058,3.722014,3.645447,3.700745,1.235716,265572
2002-05-13,3.714924,3.757461,3.714924,3.743282,1.249920,59246
2002-05-20,3.743282,3.821267,3.731939,3.821267,1.275959,44635
2002-05-27,3.814178,3.828357,3.778730,3.814178,1.273592,158759
2002-06-03,3.807088,3.826939,3.785820,3.785820,1.264123,95843
2002-06-10,3.785820,3.842536,3.771641,3.778730,1.261756,86746
2002-06-17,3.821267,3.821267,3.778730,3.785820,1.264123,35381
2002-06-24,3.814178,3.821267,3.801417,3.807088,1.271225,57159
2002-07-01,3.814178,3.821267,3.757461,3.757461,1.254654,40840
2002-07-08,3.821267,3.842536,3.757461,3.842536,1.283061,137298
2002-07-15,3.842536,3.842536,3.757461,3.757461,1.254654,159026
2002-07-22,3.757461,3.828357,3.700745,3.722014,1.242818,73824
2002-07-29,3.707835,3.757461,3.693655,3.757461,1.254654,32039
2002-08-05,3.743282,3.757461,3.714924,3.743282,1.249920,31487
2002-08-12,3.757461,3.757461,3.714924,3.757461,1.254654,35726
2002-08-19,3.799999,3.799999,3.729103,3.785820,1.264123,23314
2002-08-26,3.785820,3.828357,3.771641,3.814178,1.273592,134301
2002-09-02,3.814178,3.828357,3.758879,3.764551,1.257022,38131
2002-09-09,3.763133,3.828357,3.756044,3.828357,1.278327,198007
2002-09-16,3.828357,3.849626,3.799999,3.826939,1.277853,178274
2002-09-23,3.826939,3.828357,3.778730,3.814178,1.273592,54592
2002-09-30,3.826939,3.849626,3.764551,3.842536,1.283061,137326
2002-10-07,3.814178,3.842536,3.814178,3.828357,1.278327,112557
2002-10-14,3.828357,3.842536,3.771641,3.821267,1.275959,78141
2002-10-21,3.821267,3.828357,3.814178,3.828357,1.278327,95314
2002-10-28,3.828357,3.828357,3.792909,3.828357,1.278327,235774
2002-11-04,3.828357,3.828357,3.807088,3.828357,1.278327,184932
2002-11-11,3.828357,3.842536,3.807088,3.842536,1.283061,114469
2002-11-18,3.828357,3.892163,3.828357,3.849626,1.285429,106781
2002-11-25,3.849626,3.870894,3.828357,3.870894,1.292530,85278
2002-12-02,3.842536,3.970148,3.842536,3.963058,1.323305,350542
2002-12-09,3.963058,4.026864,3.885073,3.991417,1.332774,136996
2002-12-16,4.026864,4.111939,4.005596,4.026864,1.344610,178633
2002-12-23,4.033954,4.048133,3.970148,3.998506,1.335141,68981
2002-12-30,3.998506,4.033954,3.963058,4.033954,1.346978,52216
2003-01-06,4.033954,4.104849,3.998506,4.062312,1.356447,157779
2003-01-13,4.090670,4.097760,4.055223,4.094924,1.367336,89390
2003-01-20,4.094924,4.239551,4.094924,4.111939,1.373017,109159
2003-01-27,4.140297,4.140297,4.055223,4.119029,1.375385,153922
2003-02-03,4.111939,4.138879,4.097760,4.126118,1.377752,256389
2003-02-10,4.126118,4.182834,4.111939,4.133208,1.380120,77747
2003-02-17,4.133208,4.140297,4.104849,4.111939,1.373017,138060
2003-02-24,4.154476,4.182834,4.111939,4.148805,1.385328,98043
2003-03-03,4.148805,4.179999,4.111939,4.147387,1.384854,31664
2003-03-10,4.147387,4.182834,4.111939,4.168655,1.391956,170243
2003-03-17,4.116193,4.197014,4.055223,4.197014,1.401425,121832
2003-03-24,4.197014,4.238133,4.154476,4.223954,1.410421,21699
2003-03-31,4.253730,4.289178,4.197014,4.246640,1.417996,101888
2003-04-07,4.246640,4.246640,4.182834,4.246640,1.417996,92761
2003-04-14,4.226790,4.267909,4.211193,4.267909,1.425098,64333
2003-04-21,4.267909,4.317536,4.267909,4.282088,1.429832,95350
2003-04-28,4.282088,4.289178,4.253730,4.289178,1.432200,65524
2003-05-05,4.253730,4.324625,4.097760,4.168655,1.391956,298691
2003-05-12,4.140297,4.252312,4.111939,4.182834,1.514969,334984
2003-05-19,4.182834,4.239551,4.134626,4.204103,1.522672,58231
2003-05-26,4.239551,4.253730,4.205521,4.205521,1.523185,76850
2003-06-02,4.246640,4.324625,4.233879,4.324625,1.566324,85814
2003-06-09,4.253730,4.374252,4.253730,4.282088,1.550917,65615
2003-06-16,4.324625,4.324625,4.168655,4.252312,1.540133,147314
2003-06-23,4.252312,4.253730,4.182834,4.252312,1.540133,250753
2003-06-30,4.225372,4.317536,4.225372,4.317536,1.563756,113016
2003-07-07,4.317536,4.360073,4.253730,4.360073,1.579162,63880
2003-07-14,4.360073,4.395521,4.352984,4.367163,1.581730,237186
2003-07-21,4.367163,4.501864,4.367163,4.501864,1.630517,141798
2003-07-28,4.500446,4.601118,4.466417,4.508954,1.633085,44866
2003-08-04,4.594028,4.594028,4.433805,4.494775,1.627950,123151
2003-08-11,4.466417,4.494775,4.409700,4.409700,1.597137,29484
2003-08-18,4.430969,4.501864,4.416790,4.438058,1.607407,88135
2003-08-25,4.499028,4.537312,4.433805,4.530222,1.640788,341754
2003-09-01,4.530222,4.537312,4.523133,4.530222,1.640788,159057
2003-09-08,4.530222,4.572760,4.395521,4.402611,1.594569,184804
2003-09-15,4.409700,4.608208,4.409700,4.464999,1.682904,97797
2003-09-22,4.396939,4.466417,4.396939,4.423879,1.667406,138209
2003-09-29,4.425297,4.501864,4.413954,4.466417,1.683438,123335
2003-10-06,4.459327,4.501864,4.395521,4.464999,1.682904,170008
2003-10-13,4.453655,4.466417,4.418208,4.466417,1.683438,136529
2003-10-20,4.466417,4.466417,4.433805,4.459327,1.680766,55066
2003-10-27,4.457909,4.457909,4.418208,4.436640,1.672215,393986
2003-11-03,4.433805,4.466417,4.430969,4.466417,1.683438,109794
2003-11-10,4.438058,4.464999,4.395521,4.463581,1.682369,123743
2003-11-17,4.459327,4.459327,4.412536,4.459327,1.680766,419100
2003-11-24,4.459327,4.466417,4.438058,4.464999,1.682904,345060
2003-12-01,4.466417,4.466417,4.411118,4.450819,1.677559,89438
2003-12-08,4.450819,4.459327,4.432387,4.459327,1.680766,640355
2003-12-15,4.459327,4.467834,4.440894,4.445148,1.675422,241557
2003-12-22,4.438058,4.459327,4.438058,4.459327,1.680766,26199
2003-12-29,4.452237,4.452237,4.452237,4.452237,1.678093,32892
2004-01-05,4.452237,4.467834,4.409700,4.439476,1.673284,207522
2004-01-12,4.439476,4.494775,4.438058,4.494775,1.694126,83438
2004-01-19,4.537312,4.551491,4.494775,4.537312,1.710159,47526
2004-01-26,4.608208,4.608208,4.501864,4.535894,1.709625,96866
2004-02-02,4.535894,4.572760,4.508954,4.537312,1.710159,223220
2004-02-09,4.551491,4.820894,4.544402,4.806715,1.811700,93248
2004-02-16,4.779775,4.806715,4.686193,4.799625,1.809028,703046
2004-02-23,4.799625,4.799625,4.771267,4.788282,1.804752,69424
2004-03-01,4.793954,4.820894,4.679103,4.681939,1.764670,113164
2004-03-08,4.806715,4.863431,4.684775,4.795372,1.807425,536689
2004-03-15,4.820894,4.863431,4.799625,4.820894,1.817044,60213
2004-03-22,4.799625,4.863431,4.679103,4.863431,1.833076,165945
2004-03-29,4.820894,4.934327,4.820894,4.934327,1.859798,43660
2004-04-05,4.849252,4.962685,4.849252,4.850670,1.828267,33858
2004-04-12,4.850670,4.955596,4.835073,4.891790,1.843765,27483
2004-04-19,4.849252,4.891790,4.749999,4.749999,1.790323,424058
2004-04-26,4.751416,4.764178,4.749999,4.749999,1.790323,124844
2004-05-03,4.754252,4.806715,4.530222,4.565670,1.720847,93029
2004-05-10,4.572760,4.677685,4.423879,4.497611,1.758480,54050
2004-05-17,4.466417,4.501864,4.360073,4.372834,1.709694,48330
2004-05-24,4.374252,4.466417,4.361491,4.395521,1.718565,402443
2004-05-31,4.395521,4.579849,4.395521,4.537312,1.774002,453045
2004-06-07,4.579849,4.594028,4.466417,4.565670,1.785090,197669
2004-06-14,4.565670,4.693282,4.565670,4.679103,1.829440,137392
2004-06-21,4.686193,4.693282,4.537312,4.693282,1.834983,121627
2004-06-28,4.693282,4.693282,4.423879,4.452237,1.740740,128489
2004-07-05,4.466417,4.679103,4.452237,4.674849,1.827777,251254
2004-07-12,4.670596,4.679103,4.572760,4.679103,1.829440,48237
2004-07-19,4.676267,4.676267,4.572760,4.608208,1.801722,58689
2004-07-26,4.608208,4.608208,4.537312,4.608208,1.801722,118884
2004-08-02,4.601118,4.608208,4.552909,4.558581,1.782318,159479
2004-08-09,4.558581,4.599700,4.537312,4.537312,1.774002,128829
2004-08-16,4.537312,4.608208,4.537312,4.565670,1.785090,28990
2004-08-23,4.567088,4.594028,4.472088,4.472088,1.748501,44098
2004-08-30,4.467834,4.494775,4.362909,4.430969,1.732424,94065
2004-09-06,4.430969,4.537312,4.395521,4.496193,1.757926,76491
2004-09-13,4.523133,4.650745,4.523133,4.622387,1.807265,77288
2004-09-20,4.643655,4.815222,4.642237,4.735819,1.851615,145282
2004-09-27,4.778357,4.806715,4.690446,4.691864,1.834429,76715
2004-10-04,4.700372,4.714551,4.686193,4.686193,1.832212,167673
2004-10-11,4.686193,4.700372,4.679103,4.700372,1.837756,227670
2004-10-18,4.700372,4.749999,4.679103,4.749999,1.857159,25203
2004-10-25,4.749999,4.820894,4.649327,4.734402,1.851061,183508
2004-11-01,4.732984,4.813805,4.679103,4.749999,1.857159,63147
2004-11-08,4.721640,4.813805,4.679103,4.696118,1.836093,73924
2004-11-15,4.694700,4.810969,4.679103,4.810969,1.880998,314708
2004-11-22,4.803879,4.805297,4.690446,4.749999,1.857159,91392
2004-11-29,4.749999,4.927237,4.747163,4.891790,1.912596,1059966
2004-12-06,4.792536,4.954178,4.792536,4.918730,1.923129,104771
2004-12-13,4.920148,4.920148,4.785446,4.920148,1.923684,461177
2004-12-20,4.891790,5.033581,4.863431,4.962685,1.940315,88312
2004-12-27,4.961267,5.032163,4.917312,4.962685,1.940315,54452
2005-01-03,4.955596,5.061939,4.891790,4.905969,1.918140,87133
2005-01-10,4.962685,5.010894,4.922984,4.948506,1.934771,149344
2005-01-17,4.948506,4.954178,4.863431,4.941416,1.931999,342367
2005-01-24,4.954178,5.295894,4.954178,5.246267,2.051190,229371
2005-01-31,5.246267,5.317163,5.189551,5.274625,2.062278,955249
2005-02-07,5.260446,5.317163,5.224998,5.267536,2.059506,736448
2005-02-14,5.260446,5.317163,5.253357,5.274625,2.062278,107338
2005-02-21,5.260446,5.317163,5.246267,5.251939,2.053408,1016966
2005-02-28,5.251939,5.288804,5.250521,5.274625,2.062278,229589
2005-03-07,5.249103,5.277461,5.189551,5.189551,2.029015,285975
2005-03-14,5.232088,5.263282,5.111566,5.173954,2.022917,141228
2005-03-21,5.239178,5.239178,4.983954,5.076118,1.984666,115168
2005-03-28,5.076118,5.104476,4.981118,5.097387,1.992981,225724
2005-04-04,5.104476,5.175372,5.090297,5.147013,2.012384,138130
2005-04-11,5.132834,5.161192,5.091715,5.147013,2.012384,121253
2005-04-18,5.107312,5.147013,5.094551,5.147013,2.012384,53387
2005-04-25,5.139924,5.154103,5.105894,5.154103,2.015156,70213
2005-05-02,5.139924,5.154103,4.884700,4.901715,1.916477,804823
2005-05-09,4.891790,4.920148,4.863431,4.891790,2.061247,84643
2005-05-16,4.891790,4.934327,4.863431,4.891790,2.061247,76413
2005-05-23,4.891790,4.989625,4.863431,4.962685,2.091120,145233
2005-05-30,4.983954,5.359700,4.962685,5.345521,2.252435,169325
2005-06-06,5.317163,5.636192,5.267536,5.501491,2.318156,434320
2005-06-13,5.518506,5.657461,5.318581,5.636192,2.374915,710310
2005-06-20,5.600745,5.641864,5.502909,5.572386,2.348029,123052
2005-06-27,5.529849,5.600745,5.529849,5.600745,2.359979,261368
2005-07-04,5.551118,5.629103,5.544028,5.580894,2.351614,728435
2005-07-11,5.569551,5.633357,5.565297,5.600745,2.359979,397294
2005-07-18,5.579476,5.622013,5.536939,5.620595,2.368343,228439
2005-07-25,5.565297,5.629103,5.544028,5.593655,2.356991,229914
2005-08-01,5.545446,5.643282,5.529849,5.643282,2.377902,162025
2005-08-08,5.643282,5.770894,5.548282,5.735446,2.416737,416313
2005-08-15,5.671640,5.898506,5.671640,5.756715,2.425699,101230
2005-08-22,5.941043,5.941043,5.699998,5.699998,2.401800,727053
2005-08-29,5.799252,5.813431,5.671640,5.756715,2.425699,508811
2005-09-05,5.770894,5.813431,5.671640,5.728357,2.413750,268823
