Date,Open,High,Low,Close,Adj Close,Volume
2006-10-23,33.397465,33.450596,32.638432,33.230476,19.284756,243363
2006-10-30,33.230476,33.776981,33.017948,33.776981,19.601913,53021
2006-11-06,34.141315,34.536015,33.776981,34.148907,19.817749,57901
2006-11-13,34.156498,34.232399,33.776981,34.133724,19.808939,38547
2006-11-20,34.156498,34.156498,33.549271,33.928787,19.690008,179374
2006-11-27,34.080593,34.308304,33.928787,34.156498,19.822157,21910
2006-12-04,34.156498,34.536015,34.042641,34.536015,20.042402,25606
2006-12-11,34.536015,34.536015,34.202038,34.239990,19.870611,34298
2006-12-18,34.239990,34.505653,34.232399,34.505653,20.024786,11593
2006-12-25,34.505653,34.505653,34.232399,34.232399,19.866203,7106
2007-01-01,34.232399,34.505653,34.232399,34.232399,19.866203,6068
2007-01-08,34.232399,34.915531,34.232399,34.725773,20.152525,15099
2007-01-15,34.536015,35.295048,34.536015,34.968662,20.293484,21685
2007-01-22,34.733360,35.970585,34.733360,35.712517,20.725166,21452
2007-01-29,35.712517,36.509499,35.674564,36.433598,21.143631,14113
2007-02-05,36.433598,36.699257,35.833961,36.054081,20.923389,11233
2007-02-12,36.357693,36.661304,35.370949,35.674564,20.703146,20944
2007-02-19,35.674564,36.016129,35.295048,35.340588,20.509327,11511
2007-02-26,35.674564,35.674564,34.771313,35.674564,20.703146,12910
2007-03-05,35.295048,35.689743,35.295048,35.522758,20.615044,82729
2007-03-12,35.446854,35.522758,34.953484,35.484806,20.593016,5296
2007-03-19,35.477215,35.598660,34.999023,35.105289,20.372776,8509
2007-03-26,35.143242,35.674564,35.143242,35.150829,20.399197,12910
2007-04-02,35.370949,35.674564,35.188782,35.188782,20.421227,17458
2007-04-09,35.188782,35.666973,35.188782,35.666973,20.698730,4081
2007-04-16,35.666973,35.666973,35.105289,35.370949,20.526943,8452
2007-04-23,35.370949,35.522758,35.067337,35.370949,20.526943,9047
2007-04-30,35.082516,35.484806,35.067337,35.196373,20.425632,8250
2007-05-07,35.143242,35.484806,35.105289,35.112881,20.377178,6874
2007-05-14,35.370949,35.606251,35.120468,35.598660,20.659092,4562
2007-05-21,35.575890,35.575890,35.006615,35.074928,20.355152,11020
2007-05-28,35.074928,35.295048,34.536015,34.536015,20.042402,13007
2007-06-04,34.536015,34.915531,31.993252,31.993252,18.566753,23350
2007-06-11,32.410721,33.397465,31.955299,32.038795,18.593182,22135
2007-06-18,32.258911,33.701077,32.258911,33.200115,19.267136,18256
2007-06-25,33.169754,33.776981,32.448673,33.207706,19.271544,12148
2007-07-02,33.207706,33.207706,32.372768,32.410721,18.809029,6072
2007-07-09,32.410721,32.516987,31.507471,31.651688,18.368534,15763
2007-07-16,31.871805,31.879396,31.120363,31.833855,18.474251,12298
2007-07-23,32.129879,32.486622,31.727591,31.886988,18.505089,4745
2007-07-30,31.879396,32.183010,31.788313,31.795902,18.452223,6610
2007-08-06,31.788313,32.167828,31.348074,31.689638,18.390558,26574
2007-08-13,31.727591,32.145058,31.310122,31.499880,18.280432,6356
2007-08-20,31.727591,31.803493,31.234219,31.803493,18.456633,7209
2007-08-27,31.841446,31.879396,31.697229,31.879396,18.500677,8610
2007-09-03,31.955299,32.091927,31.727591,32.031204,18.588779,16787
2007-09-10,32.031204,32.031204,31.841446,31.917349,18.522705,4181
2007-09-17,31.917349,32.046383,31.803493,31.811085,18.461037,6779
2007-09-24,31.818674,32.145058,31.697229,32.145058,18.654852,17014
2007-10-01,32.145058,33.093849,31.879396,32.395538,18.800211,9336
2007-10-08,32.266502,32.942043,31.606146,31.735182,18.416986,11760
2007-10-15,31.765541,32.790237,31.765541,31.955299,19.183987,9271
2007-10-22,31.955299,32.524574,31.666868,31.803493,19.092854,10309
2007-10-29,32.258911,32.638432,31.765541,32.038795,19.234110,2888
2007-11-05,32.038795,32.547344,31.575785,31.575785,18.956152,7978
2007-11-12,31.575785,32.205780,30.740847,31.196266,18.728312,9925
2007-11-19,31.196266,31.499880,30.573860,31.256990,18.764763,3549
2007-11-26,31.256990,31.256990,30.702894,31.120363,18.682745,4685
2007-12-03,31.196266,31.196266,30.748438,30.816750,18.500469,4331
2007-12-10,31.082413,31.120363,30.596630,30.626991,18.386551,3247
2007-12-17,30.589041,31.112774,30.482777,30.626991,18.386551,2989
2007-12-24,30.740847,31.112774,30.740847,30.740847,18.454906,1728
2007-12-31,30.740847,31.105183,30.475185,30.475185,18.295416,7450
2008-01-07,30.475185,30.740847,29.792055,30.361330,18.227066,8436
2008-01-14,29.792055,30.346149,27.105078,27.704714,16.632200,8941
2008-01-21,27.401100,27.704714,25.048098,27.704714,16.632200,11930
2008-01-28,27.628811,29.602297,27.325197,29.602297,17.771393,4424
2008-02-04,29.981813,30.346149,28.957119,29.678200,17.816959,5501
2008-02-11,29.678200,30.361330,28.919167,29.898319,17.949100,20391
2008-02-18,30.148802,30.171572,29.389769,29.716152,17.839739,11717
2008-02-25,29.716152,30.148802,29.716152,30.034946,18.031128,9184
2008-03-03,29.678200,30.042536,29.336636,29.602297,17.771393,8644
2008-03-10,29.602297,29.966633,29.336636,29.382177,17.639244,4246
2008-03-17,29.602297,29.602297,28.843264,29.222780,17.543552,11163
2008-03-24,29.222780,29.602297,29.222780,29.374586,17.634684,4088
2008-03-31,29.602297,29.974222,28.463747,28.463747,17.087875,28548
2008-04-07,28.615555,29.450491,27.401100,28.456158,17.083321,15066
2008-04-14,28.456158,29.594707,27.431461,29.298683,17.589119,7192
