Date,Open,High,Low,Close,Adj Close,Volume
2001-06-18,230.636002,238.421524,230.384842,237.584381,93.011909,605671
2001-06-25,235.324051,241.518997,228.291962,238.588959,93.405182,819998
2001-07-02,239.426117,246.960495,235.324051,238.840103,93.503487,775208
2001-07-09,237.668091,249.471970,233.900894,247.295364,96.813629,814952
2001-07-16,245.369904,253.155441,245.369904,249.388245,97.633011,654380
2001-07-23,246.960495,251.648560,241.100418,245.118759,95.961548,656026
2001-07-30,245.537338,253.657730,243.611877,252.318283,98.780067,483147
2001-08-06,249.137100,253.155441,239.091248,242.691010,95.011086,519955
2001-08-13,244.281601,248.969666,239.426117,239.426117,93.732925,545754
2001-08-20,240.514420,250.392838,238.170380,249.890549,97.829643,642077
2001-08-27,250.643982,261.610687,250.392838,256.671478,100.484306,934438
2001-09-03,259.517822,259.517822,233.566040,233.566040,91.438766,1050551
2001-09-10,234.152039,237.668091,203.679626,207.614258,81.278885,1606803
2001-09-17,203.847061,212.637177,169.607452,188.359711,73.740921,1412817
2001-09-24,188.527130,226.701370,186.769119,224.692200,87.964745,1285259
2001-10-01,226.868805,232.728882,216.236938,230.217422,90.127808,949918
2001-10-08,226.031647,237.751801,221.176147,231.556870,90.652199,790756
2001-10-15,227.622238,229.547699,209.958282,212.134888,83.048676,964510
2001-10-22,212.804611,229.296555,210.125717,226.366501,88.620193,577553
2001-10-29,225.864212,228.626831,213.976624,228.459396,89.439560,595226
2001-11-05,228.124527,243.193314,227.371094,234.403183,91.766487,737587
2001-11-12,236.244934,245.704773,228.124527,241.518997,94.552254,858234
2001-11-19,242.774734,245.704773,222.264450,222.515594,87.112648,862444
2001-11-26,224.692200,225.361923,211.297729,219.836700,86.063866,1151642
2001-12-03,218.078674,221.594727,212.804611,219.585556,85.965538,818876
2001-12-10,219.585556,230.217422,215.650940,230.217422,90.127808,2006615
2001-12-17,225.864212,238.756393,224.357330,238.170380,93.241310,1438481
2001-12-24,236.496078,245.202484,234.403183,244.030457,95.535477,352798
2001-12-31,244.030457,244.030457,225.613068,225.947937,88.456360,541169
2002-01-07,227.622238,229.798843,219.669266,223.603897,87.538666,960546
2002-01-14,224.357330,227.705948,217.325241,226.617661,88.718521,708682
2002-01-21,226.533936,231.724289,223.687607,229.547699,89.865646,504107
2002-01-28,230.217422,233.482315,221.008713,224.022476,87.702538,651309
2002-02-04,224.189911,227.538528,213.641769,223.938766,87.669792,668173
2002-02-11,224.859634,229.380264,223.520187,227.036224,88.882393,453482
2002-02-18,226.115356,226.533936,201.000732,203.679626,79.738533,1055543
